deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,1.776,-1.656,9.968,0.12,-0.172,-0.067
3.0,1.776,-1.656,9.968,0.12,-0.172,-0.067
6.0,1.978,-1.582,9.989,0.12,-0.172,-0.067
9.0,1.978,-1.582,9.989,0.106,-0.172,-0.065
12.0,1.978,-1.582,9.989,0.106,-0.172,-0.065
15.0,1.978,-1.582,9.989,0.106,-0.172,-0.065
18.0,2.022,-1.631,10.05,0.06,-0.134,-0.069
21.0,2.022,-1.631,10.05,0.06,-0.134,-0.069
24.0,2.022,-1.631,10.05,0.06,-0.134,-0.069
27.0,2.044,-1.67,10.208,0.007,-0.105,-0.08
30.0,2.044,-1.67,10.208,0.007,-0.105,-0.08
33.0,2.044,-1.67,10.208,0.007,-0.105,-0.08
36.0,2.057,-1.775,10.451,-0.046,-0.084,-0.098
40.0,2.057,-1.775,10.451,-0.046,-0.084,-0.098
44.0,2.057,-1.775,10.451,-0.046,-0.084,-0.098
48.0,2.092,-1.89,10.701,-0.077,-0.076,-0.123
52.0,2.092,-1.89,10.701,-0.077,-0.076,-0.123
56.0,2.179,-1.856,10.942,-0.084,-0.073,-0.153
60.0,2.179,-1.856,10.942,-0.084,-0.073,-0.153
64.0,2.179,-1.856,10.942,-0.084,-0.073,-0.153
68.0,2.186,-1.902,11.267,-0.072,-0.071,-0.189
72.0,2.186,-1.902,11.267,-0.072,-0.071,-0.189
75.0,2.068,-2.267,11.712,-0.021,-0.071,-0.22
79.0,2.068,-2.267,11.712,-0.021,-0.071,-0.22
83.0,2.068,-2.267,11.712,-0.021,-0.071,-0.22
87.0,1.933,-2.661,12.253,0.118,-0.079,-0.232
91.0,1.933,-2.661,12.253,0.118,-0.079,-0.232
95.0,1.734,-2.826,12.81,0.118,-0.079,-0.248
99.0,1.734,-2.826,12.81,0.327,-0.1,-0.248
102.0,1.734,-2.826,12.81,0.327,-0.1,-0.248
106.0,1.543,-2.749,13.414,0.554,-0.123,-0.283
110.0,1.543,-2.749,13.414,0.554,-0.123,-0.283
114.0,1.543,-2.445,14.219,0.554,-0.123,-0.283
118.0,1.339,-2.445,14.219,0.739,-0.179,-0.339
122.0,1.339,-2.445,14.219,0.739,-0.179,-0.339
126.0,0.836,-3.123,15.073,0.91,-0.269,-0.383
130.0,0.836,-3.123,15.073,0.91,-0.269,-0.383
134.0,0.836,-3.123,15.376,0.91,-0.269,-0.383
138.0,1.202,-1.618,15.376,1.147,-0.463,-0.423
142.0,1.202,-1.618,15.376,1.147,-0.463,-0.423
145.0,1.103,-0.631,15.44,1.118,-0.67,-0.531
149.0,1.103,-0.631,15.44,1.118,-0.67,-0.531
153.0,1.103,-0.631,15.44,1.118,-0.67,-0.531
157.0,1.205,-0.304,15.264,0.951,-0.913,-0.658
161.0,1.205,-0.304,15.264,0.951,-0.913,-0.658
165.0,1.302,-0.147,15.209,0.776,-1.135,-0.776
169.0,1.302,-0.147,15.209,0.776,-1.135,-0.776
173.0,1.302,-0.147,15.209,0.776,-1.135,-0.776
177.0,1.388,-0.209,15.45,0.591,-1.331,-0.895
181.0,1.388,-0.209,15.45,0.591,-1.331,-0.895
184.0,1.291,-0.371,15.638,0.374,-1.533,-1.036
188.0,1.291,-0.371,15.638,0.374,-1.533,-1.036
192.0,1.291,-0.371,15.638,0.374,-1.533,-1.036
196.0,1.22,-0.702,15.846,0.131,-1.749,-1.202
200.0,1.22,-0.702,15.846,0.131,-1.749,-1.202
204.0,1.266,-1.209,15.972,-0.113,-1.977,-1.395
208.0,1.266,-1.209,15.972,-0.113,-1.977,-1.395
212.0,1.266,-1.209,15.972,-0.113,-1.977,-1.395
216.0,1.621,-1.718,15.925,-0.325,-2.207,-1.603
220.0,1.621,-1.718,15.925,-0.325,-2.207,-1.603
224.0,2.066,-2.426,15.889,-0.479,-2.415,-1.805
228.0,2.066,-2.426,15.889,-0.479,-2.415,-1.805
232.0,2.066,-2.426,15.889,-0.479,-2.415,-1.805
236.0,2.467,-3.025,15.786,-0.553,-2.609,-2.002
240.0,2.467,-3.025,15.786,-0.553,-2.609,-2.002
244.0,2.623,-3.524,15.505,-0.546,-2.788,-2.197
248.0,2.623,-3.524,15.505,-0.546,-2.788,-2.197
252.0,2.623,-3.524,15.505,-0.546,-2.788,-2.197
256.0,2.811,-3.765,14.969,-0.466,-2.957,-2.392
260.0,2.811,-3.765,14.969,-0.466,-2.957,-2.392
264.0,3.242,-3.862,14.415,-0.327,-3.103,-2.58
268.0,3.242,-3.862,14.415,-0.327,-3.103,-2.58
272.0,3.242,-3.862,13.836,-0.327,-3.103,-2.58
276.0,3.742,-3.966,13.836,-0.145,-3.223,-2.752
280.0,3.742,-3.966,13.836,-0.145,-3.223,-2.752
284.0,4.078,-4.071,13.239,0.076,-3.326,-2.913
288.0,4.078,-4.071,13.239,0.076,-3.326,-2.913
292.0,4.078,-4.071,12.373,0.076,-3.326,-2.913
296.0,4.163,-3.89,12.373,0.333,-3.412,-3.072
300.0,4.163,-3.89,12.373,0.333,-3.412,-3.072
303.0,4.146,-3.613,11.308,0.622,-3.476,-3.214
307.0,4.146,-3.613,11.308,0.622,-3.476,-3.214
311.0,4.146,-3.613,11.308,0.622,-3.476,-3.214
315.0,4.15,-3.363,10.3,0.921,-3.52,-3.331
