deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-3.962,0.842,8.282,-0.377,-0.064,0.138
3.0,-3.962,0.842,8.282,-0.377,-0.064,0.138
6.0,-3.859,0.621,8.241,-0.351,-0.02,0.18
9.0,-3.859,0.621,8.241,-0.351,-0.02,0.18
12.0,-3.859,0.621,8.241,-0.351,-0.02,0.18
15.0,-3.91,0.627,8.255,-0.309,0.017,0.21
18.0,-3.91,0.627,8.255,-0.309,0.017,0.21
21.0,-3.91,0.627,8.255,-0.309,0.017,0.21
24.0,-3.942,0.846,8.303,-0.309,0.045,0.222
27.0,-3.942,0.846,8.303,-0.287,0.045,0.222
30.0,-3.942,0.846,8.303,-0.287,0.045,0.222
33.0,-3.942,0.846,8.303,-0.287,0.045,0.222
36.0,-3.946,0.996,8.463,-0.304,0.068,0.232
39.0,-3.946,0.996,8.463,-0.304,0.068,0.232
42.0,-3.946,0.996,8.463,-0.304,0.068,0.232
46.0,-4.074,1.184,8.683,-0.344,0.091,0.256
50.0,-4.074,1.184,8.683,-0.344,0.091,0.256
53.0,-4.286,1.306,8.858,-0.344,0.103,0.298
57.0,-4.286,1.306,8.858,-0.405,0.103,0.298
61.0,-4.286,1.306,8.858,-0.405,0.103,0.298
64.0,-4.396,1.312,8.937,-0.474,0.101,0.352
68.0,-4.396,1.312,8.937,-0.474,0.101,0.352
72.0,-4.396,1.312,8.937,-0.474,0.101,0.352
75.0,-4.355,1.181,8.913,-0.537,0.097,0.409
79.0,-4.355,1.181,8.913,-0.537,0.097,0.409
82.0,-4.259,1.198,8.833,-0.537,0.097,0.409
86.0,-4.259,1.198,8.833,-0.586,0.103,0.453
90.0,-4.259,1.198,8.833,-0.586,0.103,0.453
93.0,-4.269,1.23,8.841,-0.643,0.12,0.479
97.0,-4.269,1.23,8.841,-0.643,0.12,0.479
101.0,-4.269,1.23,8.841,-0.643,0.12,0.479
104.0,-4.363,1.258,8.949,-0.71,0.142,0.494
108.0,-4.363,1.258,8.949,-0.71,0.142,0.494
112.0,-4.363,0.971,9.379,-0.71,0.142,0.494
116.0,-4.517,0.971,9.379,-0.766,0.165,0.519
119.0,-4.517,0.971,9.379,-0.766,0.165,0.519
123.0,-4.84,0.524,9.887,-0.747,0.183,0.574
127.0,-4.84,0.524,9.887,-0.747,0.183,0.574
131.0,-4.84,0.524,9.887,-0.747,0.183,0.574
134.0,-5.279,0.345,10.065,-0.651,0.167,0.634
138.0,-5.279,0.345,10.065,-0.651,0.167,0.634
142.0,-5.391,0.137,10.065,-0.651,0.167,0.694
146.0,-5.391,0.137,10.065,-0.504,0.156,0.694
150.0,-5.391,0.137,10.065,-0.504,0.156,0.694
153.0,-6.62,0.364,9.754,-0.319,0.093,0.709
157.0,-6.62,0.364,9.754,-0.319,0.093,0.709
161.0,-6.62,0.364,9.754,-0.319,0.093,0.709
165.0,-7.539,1.089,9.141,-0.213,-0.117,0.675
168.0,-7.539,1.089,9.141,-0.213,-0.117,0.675
172.0,-7.764,1.178,8.27,-0.248,-0.305,0.638
176.0,-7.764,1.178,8.27,-0.248,-0.305,0.638
180.0,-7.764,1.178,8.27,-0.248,-0.305,0.638
184.0,-7.871,1.166,7.322,-0.329,-0.43,0.628
188.0,-7.871,1.166,7.322,-0.329,-0.43,0.628
191.0,-8.066,1.061,6.593,-0.329,-0.43,0.633
195.0,-8.066,1.061,6.593,-0.428,-0.513,0.633
199.0,-8.066,1.061,6.593,-0.428,-0.513,0.633
203.0,-8.461,0.748,6.111,-0.537,-0.582,0.629
207.0,-8.461,0.748,6.111,-0.537,-0.582,0.629
210.0,-8.461,0.748,5.873,-0.537,-0.582,0.629
214.0,-9.02,0.283,5.873,-0.649,-0.658,0.594
218.0,-9.02,0.283,5.873,-0.649,-0.658,0.594
222.0,-9.629,-0.278,5.833,-0.76,-0.745,0.524
226.0,-9.629,-0.278,5.833,-0.76,-0.745,0.524
230.0,-9.629,-0.278,5.833,-0.76,-0.745,0.524
234.0,-10.07,-0.862,5.959,-0.864,-0.85,0.426
238.0,-10.07,-0.862,5.959,-0.864,-0.85,0.426
242.0,-10.259,-1.244,6.09,-0.969,-0.974,0.31
246.0,-10.259,-1.244,6.09,-0.969,-0.974,0.31
250.0,-10.259,-1.244,6.09,-0.969,-0.974,0.31
254.0,-10.423,-1.416,6.236,-1.083,-1.103,0.194
258.0,-10.423,-1.416,6.236,-1.083,-1.103,0.194
262.0,-10.623,-1.472,6.422,-1.216,-1.229,0.099
266.0,-10.623,-1.472,6.422,-1.216,-1.229,0.099
270.0,-10.623,-1.472,6.422,-1.216,-1.229,0.099
274.0,-10.67,-1.384,6.569,-1.376,-1.359,0.037
278.0,-10.67,-1.384,6.569,-1.376,-1.359,0.037
282.0,-10.392,-1.329,6.604,-1.575,-1.49,0.014
286.0,-10.392,-1.329,6.604,-1.575,-1.49,0.014
290.0,-10.392,-1.329,6.525,-1.575,-1.49,0.014
294.0,-9.586,-1.466,6.525,-1.794,-1.611,0.016
297.0,-9.586,-1.466,6.525,-1.794,-1.611,0.016
301.0,-8.148,-1.564,6.202,-1.992,-1.687,0.028
305.0,-8.148,-1.564,6.202,-1.992,-1.687,0.028
309.0,-8.148,-1.564,5.945,-1.992,-1.687,0.028
313.0,-6.329,-1.513,5.945,-2.183,-1.666,0.061
317.0,-6.329,-1.513,5.945,-2.183,-1.666,0.061
321.0,-4.521,-1.533,5.713,-2.418,-1.531,0.117
325.0,-4.521,-1.533,5.713,-2.418,-1.531,0.117
329.0,-4.521,-1.533,5.713,-2.418,-1.531,0.117
333.0,-1.767,-1.535,5.661,-2.714,-1.357,0.212
336.0,-1.767,-1.535,5.661,-2.714,-1.357,0.212
340.0,2.083,-1.866,6.351,-3.151,-1.041,0.377
344.0,2.083,-1.866,6.351,-3.151,-1.041,0.377
348.0,2.083,-1.866,6.351,-3.151,-1.041,0.377
352.0,5.678,-2.803,7.945,-3.724,-0.603,0.606
356.0,5.678,-2.803,7.945,-3.724,-0.603,0.606
359.0,8.474,-4.601,10.183,-4.312,-0.224,0.842
363.0,8.474,-4.601,10.183,-4.312,-0.224,0.842
367.0,8.474,-4.601,10.183,-4.312,-0.224,0.842
371.0,10.301,-6.644,12.713,-4.784,-0.011,0.927
375.0,10.301,-6.644,12.713,-4.784,-0.011,0.927
379.0,11.818,-8.017,14.955,-4.784,-0.025,0.807
383.0,11.818,-8.017,14.955,-4.993,-0.025,0.807
387.0,11.818,-8.017,14.955,-4.993,-0.025,0.807
391.0,13.325,-9.132,16.423,-4.984,-0.154,0.56
395.0,13.325,-9.132,16.423,-4.984,-0.154,0.56
399.0,15.343,-10.637,17.767,-4.745,-0.329,0.272
403.0,15.343,-10.637,17.767,-4.745,-0.329,0.272
407.0,15.343,-10.637,17.767,-4.745,-0.329,0.272
411.0,17.675,-12.884,18.972,-4.208,-0.523,-0.084
416.0,17.675,-12.884,18.972,-4.208,-0.523,-0.084
420.0,19.499,-14.904,19.6,-3.439,-0.775,-0.52
424.0,19.499,-14.904,19.6,-3.439,-0.775,-0.52
428.0,19.596,-16.338,19.6,-3.439,-0.775,-0.52
432.0,19.596,-16.338,19.6,-2.499,-1.029,-1.016
436.0,19.596,-16.338,19.6,-2.499,-1.029,-1.016
441.0,19.528,-17.02,19.6,-1.501,-1.3,-1.54
445.0,19.528,-17.02,19.6,-1.501,-1.3,-1.54
449.0,18.095,-16.769,19.6,-0.516,-1.584,-2.08
453.0,18.095,-16.769,19.6,-0.516,-1.584,-2.08
457.0,18.095,-16.769,19.429,-0.516,-1.584,-2.08
461.0,15.75,-15.539,19.429,0.375,-1.861,-2.591
465.0,15.75,-15.539,19.429,0.375,-1.861,-2.591
470.0,13.594,-13.664,18.0,1.076,-2.095,-2.997
474.0,13.594,-13.664,18.0,1.076,-2.095,-2.997
478.0,11.928,-11.579,16.35,1.076,-2.095,-3.257
482.0,11.928,-11.579,16.35,1.513,-2.249,-3.257
486.0,11.928,-11.579,16.35,1.513,-2.249,-3.257
490.0,10.223,-9.577,14.869,1.663,-2.303,-3.393
494.0,10.223,-9.577,14.869,1.663,-2.303,-3.393
498.0,8.387,-7.7,13.471,1.557,-2.259,-3.452
502.0,8.387,-7.7,13.471,1.557,-2.259,-3.452
506.0,8.387,-7.7,13.471,1.557,-2.259,-3.452
510.0,6.577,-6.098,12.199,1.242,-2.122,-3.465
514.0,6.577,-6.098,12.199,1.242,-2.122,-3.465
517.0,4.755,-4.945,10.918,0.767,-1.897,-3.457
521.0,4.755,-4.945,10.918,0.767,-1.897,-3.457
525.0,4.755,-4.945,10.918,0.767,-1.897,-3.457
529.0,2.905,-4.037,9.43,0.189,-1.588,-3.43
