deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-12.227,-1.378,1.697,-0.662,0.881,1.436
3.0,-13.627,-1.534,1.811,-0.741,1.053,1.69
6.0,-13.627,-1.534,1.811,-0.741,1.053,1.69
9.0,-13.627,-1.534,1.811,-0.741,1.053,1.69
12.0,-14.395,-1.637,2.157,-0.829,1.177,1.916
15.0,-14.395,-1.637,2.157,-0.829,1.177,1.916
18.0,-14.395,-1.637,2.157,-0.829,1.177,1.916
21.0,-14.302,-1.749,2.548,-0.829,1.177,2.082
23.0,-14.302,-1.749,2.548,-0.932,1.23,2.082
26.0,-14.302,-1.749,2.548,-0.932,1.23,2.082
29.0,-14.302,-1.749,2.548,-0.932,1.23,2.082
33.0,-13.388,-1.979,2.981,-1.03,1.226,2.17
37.0,-13.388,-1.979,2.981,-1.03,1.226,2.17
40.0,-11.905,-2.428,3.393,-1.03,1.184,2.188
44.0,-11.905,-2.428,3.393,-1.067,1.184,2.188
48.0,-11.905,-2.428,3.393,-1.067,1.184,2.188
52.0,-10.298,-3.243,3.81,-0.976,1.127,2.159
56.0,-10.298,-3.243,3.81,-0.976,1.127,2.159
59.0,-10.298,-3.243,3.968,-0.976,1.127,2.159
63.0,-9.061,-3.564,3.968,-0.704,1.073,2.092
67.0,-9.061,-3.564,3.968,-0.704,1.073,2.092
71.0,-7.937,-3.249,3.864,-0.352,1.03,1.961
74.0,-7.937,-3.249,3.864,-0.352,1.03,1.961
78.0,-7.937,-3.249,3.864,-0.352,1.03,1.961
82.0,-7.283,-2.32,3.683,-0.05,1.018,1.79
86.0,-7.283,-2.32,3.683,-0.05,1.018,1.79
89.0,-7.368,-1.302,3.477,-0.05,1.018,1.79
93.0,-7.368,-1.302,3.477,0.109,1.028,1.622
97.0,-7.368,-1.302,3.477,0.109,1.028,1.622
100.0,-8.026,-0.446,3.22,0.118,1.041,1.483
104.0,-8.026,-0.446,3.22,0.118,1.041,1.483
108.0,-8.026,-0.446,3.22,0.118,1.041,1.483
112.0,-9.298,1.831,4.569,-0.135,1.059,1.369
115.0,-9.298,1.831,4.569,-0.135,1.059,1.369
119.0,-10.505,1.479,5.249,-0.135,1.059,1.369
123.0,-10.505,1.479,5.249,-0.773,0.988,1.286
127.0,-10.505,1.479,5.249,-0.773,0.988,1.286
131.0,-11.986,1.614,6.812,-1.44,0.803,1.236
134.0,-11.986,1.614,6.812,-1.44,0.803,1.236
0.0,-11.986,1.614,6.812,-1.44,0.803,1.236
4.0,-12.656,0.204,6.954,-2.197,0.558,1.218
7.0,-12.656,0.204,6.954,-2.197,0.558,1.218
11.0,-12.745,-1.636,5.556,-2.722,0.319,1.171
15.0,-12.745,-1.636,5.556,-2.722,0.319,1.171
19.0,-12.745,-1.636,5.556,-2.722,0.319,1.171
23.0,-12.166,-3.871,3.892,-2.814,0.144,1.126
26.0,-12.166,-3.871,3.892,-2.814,0.144,1.126
30.0,-11.14,-5.337,2.389,-2.814,0.144,1.126
34.0,-11.14,-5.337,2.389,-2.443,0.091,1.16
38.0,-11.14,-5.337,2.389,-2.443,0.091,1.16
42.0,-9.782,-4.274,1.113,-1.856,0.138,1.195
45.0,-9.782,-4.274,1.113,-1.856,0.138,1.195
49.0,-9.782,-4.274,1.113,-1.856,0.138,1.195
53.0,-9.671,-3.532,0.748,-1.468,0.224,1.165
57.0,-9.671,-3.532,0.748,-1.468,0.224,1.165
60.0,-10.066,-2.891,1.286,-1.468,0.293,1.117
64.0,-10.066,-2.891,1.286,-1.302,0.293,1.117
68.0,-10.066,-2.891,1.286,-1.302,0.293,1.117
72.0,-10.196,-2.334,2.551,-1.345,0.306,1.039
76.0,-10.196,-2.334,2.551,-1.345,0.306,1.039
79.0,-10.196,-3.096,3.295,-1.345,0.306,1.039
83.0,-9.923,-3.096,3.295,-1.504,0.254,0.958
87.0,-9.923,-3.096,3.295,-1.504,0.254,0.958
91.0,-8.71,-3.66,3.669,-1.543,0.17,0.873
94.0,-8.71,-3.66,3.669,-1.543,0.17,0.873
98.0,-8.71,-3.66,3.669,-1.543,0.17,0.873
102.0,-7.995,-4.1,3.76,-1.452,0.176,0.776
106.0,-7.995,-4.1,3.76,-1.452,0.176,0.776
110.0,-7.944,-4.653,3.773,-1.452,0.176,0.685
113.0,-7.944,-4.653,3.773,-1.269,0.22,0.685
117.0,-7.944,-4.653,3.773,-1.269,0.22,0.685
121.0,-8.198,-5.63,3.845,-0.941,0.227,0.64
125.0,-8.198,-5.63,3.845,-0.941,0.227,0.64
129.0,-8.198,-5.63,3.905,-0.941,0.227,0.64
132.0,-8.265,-6.471,3.905,-0.418,0.216,0.651
136.0,-8.265,-6.471,3.905,-0.418,0.216,0.651
140.0,-7.914,-5.899,3.754,0.196,0.213,0.665
144.0,-7.914,-5.899,3.754,0.196,0.213,0.665
148.0,-7.914,-5.899,3.754,0.196,0.213,0.665
151.0,-7.717,-4.739,3.507,0.649,0.228,0.643
155.0,-7.717,-4.739,3.507,0.649,0.228,0.643
159.0,-8.063,-4.146,3.44,0.649,0.228,0.643
163.0,-8.063,-4.146,3.44,0.87,0.246,0.617
166.0,-8.063,-4.146,3.44,0.87,0.246,0.617
170.0,-8.073,-3.251,3.367,0.936,0.246,0.594
174.0,-8.073,-3.251,3.367,0.936,0.246,0.594
177.0,-8.073,-3.251,3.367,0.936,0.246,0.594
181.0,-8.352,-2.835,3.37,0.833,0.238,0.544
185.0,-8.352,-2.835,3.37,0.833,0.238,0.544
189.0,-8.503,-2.785,3.61,0.833,0.211,0.489
192.0,-8.503,-2.785,3.61,0.652,0.211,0.489
196.0,-8.503,-2.785,3.61,0.652,0.211,0.489
