deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-1.224,8.445,4.533,0.157,-0.102,0.091
3.0,-1.224,8.445,4.533,0.157,-0.102,0.091
6.0,-1.224,8.445,4.533,0.157,-0.102,0.091
9.0,-1.027,8.774,4.299,0.21,-0.097,0.105
12.0,-1.027,8.774,4.299,0.21,-0.097,0.105
15.0,-1.027,8.774,4.299,0.21,-0.097,0.105
18.0,-0.929,8.837,4.145,0.21,-0.097,0.113
21.0,-0.929,8.837,4.145,0.208,-0.055,0.113
24.0,-0.929,8.837,4.145,0.208,-0.055,0.113
27.0,-0.929,8.837,4.145,0.208,-0.055,0.113
30.0,-0.951,8.889,4.056,0.197,-0.013,0.124
33.0,-0.951,8.889,4.056,0.197,-0.013,0.124
36.0,-0.951,8.889,4.056,0.197,-0.013,0.124
39.0,-1.0,8.845,4.079,0.177,0.033,0.142
42.0,-1.0,8.845,4.079,0.177,0.033,0.142
46.0,-1.0,8.845,4.079,0.177,0.033,0.142
49.0,-1.027,8.735,4.231,0.15,0.075,0.156
53.0,-1.027,8.735,4.231,0.15,0.075,0.156
56.0,-1.027,8.735,4.231,0.15,0.075,0.156
60.0,-1.165,8.63,4.356,0.116,0.106,0.162
63.0,-1.165,8.63,4.356,0.116,0.106,0.162
67.0,-1.165,8.77,4.414,0.116,0.106,0.162
70.0,-1.405,8.77,4.414,0.066,0.127,0.155
74.0,-1.405,8.77,4.414,0.066,0.127,0.155
78.0,-1.409,8.819,4.473,-0.022,0.136,0.139
81.0,-1.409,8.819,4.473,-0.022,0.136,0.139
85.0,-1.409,8.819,4.473,-0.022,0.136,0.139
88.0,-1.407,8.509,4.563,-0.081,0.149,0.142
92.0,-1.407,8.509,4.563,-0.081,0.149,0.142
96.0,-1.407,8.509,4.563,-0.081,0.149,0.142
99.0,-1.279,8.495,4.594,-0.086,0.165,0.149
103.0,-1.279,8.495,4.594,-0.086,0.165,0.149
107.0,-1.219,8.54,4.862,-0.086,0.185,0.154
111.0,-1.219,8.54,4.862,-0.08,0.185,0.154
114.0,-1.219,8.54,4.862,-0.08,0.185,0.154
118.0,-1.408,8.519,5.154,-0.066,0.204,0.158
122.0,-1.408,8.519,5.154,-0.066,0.204,0.158
125.0,-1.408,8.519,5.154,-0.066,0.204,0.158
129.0,-1.237,8.676,5.456,-0.05,0.22,0.157
133.0,-1.237,8.676,5.456,-0.05,0.22,0.157
137.0,-1.675,8.723,5.582,0.019,0.247,0.188
140.0,-1.675,8.723,5.582,0.019,0.247,0.188
144.0,-1.675,8.723,5.582,0.019,0.247,0.188
148.0,-1.802,9.104,5.396,0.119,0.205,0.208
151.0,-1.802,9.104,5.396,0.119,0.205,0.208
155.0,-1.802,9.104,5.396,0.119,0.205,0.208
159.0,-1.728,8.633,5.204,0.221,0.192,0.239
162.0,-1.728,8.633,5.204,0.221,0.192,0.239
166.0,-1.779,9.058,4.844,0.221,0.192,0.239
169.0,-1.779,9.058,4.844,0.382,0.171,0.287
173.0,-1.779,9.058,4.844,0.382,0.171,0.287
177.0,-2.125,9.679,4.658,0.429,0.16,0.323
180.0,-2.125,9.679,4.658,0.429,0.16,0.323
184.0,-2.125,9.679,4.658,0.429,0.16,0.323
188.0,-2.262,10.006,4.524,0.323,0.134,0.35
191.0,-2.262,10.006,4.524,0.323,0.134,0.35
195.0,-2.262,10.222,4.44,0.323,0.134,0.35
199.0,-2.257,10.222,4.44,0.112,0.106,0.379
203.0,-2.257,10.222,4.44,0.112,0.106,0.379
206.0,-2.535,10.315,4.452,-0.165,0.081,0.405
210.0,-2.535,10.315,4.452,-0.165,0.081,0.405
214.0,-2.535,10.315,4.452,-0.165,0.081,0.405
218.0,-2.948,10.363,4.481,-0.463,0.044,0.436
222.0,-2.948,10.363,4.481,-0.463,0.044,0.436
225.0,-3.173,10.277,4.409,-0.736,-0.001,0.491
229.0,-3.173,10.277,4.409,-0.736,-0.001,0.491
233.0,-3.173,10.277,4.409,-0.736,-0.001,0.491
237.0,-3.251,10.25,4.339,-0.956,-0.038,0.563
241.0,-3.251,10.25,4.339,-0.956,-0.038,0.563
245.0,-3.337,10.437,4.341,-0.956,-0.068,0.655
249.0,-3.337,10.437,4.341,-1.111,-0.068,0.655
253.0,-3.337,10.437,4.341,-1.111,-0.068,0.655
257.0,-3.565,10.778,4.437,-1.194,-0.097,0.775
261.0,-3.565,10.778,4.437,-1.194,-0.097,0.775
265.0,-3.803,11.104,4.504,-1.194,-0.097,0.775
268.0,-3.803,11.104,4.504,-1.204,-0.128,0.92
272.0,-3.803,11.104,4.504,-1.204,-0.128,0.92
276.0,-3.991,11.317,4.617,-1.152,-0.154,1.091
280.0,-3.991,11.317,4.617,-1.152,-0.154,1.091
284.0,-4.236,11.605,4.777,-1.152,-0.154,1.091
288.0,-4.236,11.605,4.777,-1.047,-0.176,1.261
292.0,-4.236,11.605,4.777,-1.047,-0.176,1.261
296.0,-4.572,12.12,4.877,-0.905,-0.198,1.431
300.0,-4.572,12.12,4.877,-0.905,-0.198,1.431
304.0,-4.572,12.12,4.974,-0.905,-0.198,1.431
307.0,-4.853,12.672,4.974,-0.758,-0.217,1.638
311.0,-4.853,12.672,4.974,-0.758,-0.217,1.638
315.0,-4.938,13.071,5.026,-0.634,-0.235,1.884
319.0,-4.938,13.071,5.026,-0.634,-0.235,1.884
323.0,-4.938,13.071,5.026,-0.634,-0.235,1.884
327.0,-4.967,13.515,5.061,-0.546,-0.252,2.132
331.0,-4.967,13.515,5.061,-0.546,-0.252,2.132
335.0,-4.971,13.91,5.008,-0.504,-0.267,2.372
339.0,-4.971,13.91,5.008,-0.504,-0.267,2.372
343.0,-4.971,13.91,5.008,-0.504,-0.267,2.372
347.0,-4.893,14.101,4.968,-0.519,-0.268,2.624
350.0,-4.893,14.101,4.968,-0.519,-0.268,2.624
354.0,-4.737,14.215,4.97,-0.591,-0.26,2.889
358.0,-4.737,14.215,4.97,-0.591,-0.26,2.889
362.0,-4.737,14.215,4.97,-0.591,-0.26,2.889
366.0,-4.536,14.249,5.084,-0.701,-0.251,3.164
370.0,-4.536,14.249,5.084,-0.701,-0.251,3.164
374.0,-4.4,14.128,5.319,-0.838,-0.251,3.452
378.0,-4.4,14.128,5.319,-0.838,-0.251,3.452
382.0,-4.4,14.128,5.319,-0.838,-0.251,3.452
386.0,-4.319,13.857,5.607,-0.983,-0.272,3.755
390.0,-4.319,13.857,5.607,-0.983,-0.272,3.755
393.0,-4.138,13.316,5.767,-1.119,-0.311,4.055
397.0,-4.138,13.316,5.767,-1.119,-0.311,4.055
401.0,-4.138,13.316,5.767,-1.119,-0.311,4.055
405.0,-4.012,12.777,6.039,-1.237,-0.36,4.341
