deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-6.423,-5.721,4.119,-1.137,-0.05,0.527
3.0,-6.423,-5.721,4.119,-1.263,-0.054,0.477
6.0,-6.423,-5.721,4.119,-1.263,-0.054,0.477
9.0,-6.423,-5.721,4.119,-1.263,-0.054,0.477
12.0,-6.643,-6.197,4.269,-1.317,-0.022,0.457
15.0,-6.643,-6.197,4.269,-1.317,-0.022,0.457
18.0,-6.643,-6.197,4.269,-1.317,-0.022,0.457
21.0,-6.652,-6.404,4.434,-1.294,0.023,0.447
24.0,-6.652,-6.404,4.434,-1.294,0.023,0.447
27.0,-6.652,-6.404,4.434,-1.294,0.023,0.447
30.0,-6.472,-6.089,4.511,-1.294,0.039,0.424
33.0,-6.472,-6.089,4.511,-1.233,0.039,0.424
37.0,-6.472,-6.089,4.511,-1.233,0.039,0.424
41.0,-6.498,-5.706,4.534,-1.226,0.054,0.385
44.0,-6.498,-5.706,4.534,-1.226,0.054,0.385
48.0,-6.498,-5.706,4.534,-1.226,0.054,0.385
52.0,-6.671,-5.338,4.577,-1.281,0.076,0.34
56.0,-6.671,-5.338,4.577,-1.281,0.076,0.34
59.0,-6.671,-5.279,4.674,-1.281,0.076,0.34
63.0,-6.802,-5.279,4.674,-1.367,0.089,0.305
67.0,-6.802,-5.279,4.674,-1.367,0.089,0.305
70.0,-6.852,-5.337,4.834,-1.435,0.099,0.286
74.0,-6.852,-5.337,4.834,-1.435,0.099,0.286
78.0,-6.852,-5.337,4.834,-1.435,0.099,0.286
82.0,-6.938,-5.498,5.227,-1.472,0.129,0.266
85.0,-6.938,-5.498,5.227,-1.472,0.129,0.266
89.0,-7.097,-6.465,6.029,-1.472,0.129,0.266
93.0,-7.097,-6.465,6.029,-1.452,0.182,0.245
97.0,-7.097,-6.465,6.029,-1.452,0.182,0.245
100.0,-7.318,-8.121,6.93,-1.242,0.258,0.24
104.0,-7.318,-8.121,6.93,-1.242,0.258,0.24
108.0,-7.318,-8.121,6.93,-1.242,0.258,0.24
112.0,-6.983,-8.383,7.524,-0.779,0.284,0.228
116.0,-6.983,-8.383,7.524,-0.779,0.284,0.228
119.0,-7.425,-9.399,8.198,-0.24,0.304,0.191
123.0,-7.425,-9.399,8.198,-0.24,0.304,0.191
127.0,-7.425,-9.399,8.198,-0.24,0.304,0.191
131.0,-7.882,-7.896,8.45,0.289,0.261,0.12
135.0,-7.882,-7.896,8.45,0.289,0.261,0.12
138.0,-8.669,-7.472,8.716,0.289,0.261,0.12
142.0,-8.669,-7.472,8.716,0.391,0.212,-0.089
146.0,-8.669,-7.472,8.716,0.391,0.212,-0.089
150.0,-8.336,-7.56,8.882,0.27,0.083,-0.347
154.0,-8.336,-7.56,8.882,0.27,0.083,-0.347
157.0,-8.336,-7.56,8.882,0.27,0.083,-0.347
161.0,-7.487,-7.844,8.956,0.051,-0.057,-0.63
165.0,-7.487,-7.844,8.956,0.051,-0.057,-0.63
169.0,-6.444,-8.526,9.045,-0.249,-0.189,-0.925
173.0,-6.444,-8.526,9.045,-0.249,-0.189,-0.925
177.0,-6.444,-8.526,9.045,-0.249,-0.189,-0.925
181.0,-5.435,-10.228,9.611,-0.623,-0.314,-1.233
185.0,-5.435,-10.228,9.611,-0.623,-0.314,-1.233
189.0,-4.513,-12.77,10.956,-1.076,-0.446,-1.606
193.0,-4.513,-12.77,10.956,-1.076,-0.446,-1.606
197.0,-4.513,-15.666,12.717,-1.076,-0.446,-1.606
202.0,-3.965,-15.666,12.717,-1.639,-0.632,-2.108
206.0,-3.965,-15.666,12.717,-1.639,-0.632,-2.108
210.0,-3.714,-18.628,13.786,-2.317,-0.908,-2.784
214.0,-3.714,-18.628,13.786,-2.317,-0.908,-2.784
218.0,-3.31,-19.6,13.691,-2.988,-1.215,-3.595
222.0,-3.31,-19.6,13.691,-2.988,-1.215,-3.595
227.0,-3.31,-19.6,13.691,-2.988,-1.215,-3.595
231.0,-2.091,-19.6,13.092,-3.458,-1.433,-4.426
235.0,-2.091,-19.6,13.092,-3.458,-1.433,-4.426
239.0,-0.642,-19.6,12.787,-3.607,-1.517,-4.952
243.0,-0.642,-19.6,12.787,-3.607,-1.517,-4.952
247.0,0.206,-19.6,12.556,-3.607,-1.54,-4.995
252.0,0.206,-19.6,12.556,-3.423,-1.54,-4.995
256.0,0.206,-19.6,12.556,-3.423,-1.54,-4.995
260.0,0.316,-19.6,11.975,-2.935,-1.539,-4.995
264.0,0.316,-19.6,11.975,-2.935,-1.539,-4.995
