deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-9.099,-1.72,3.226,-0.764,-0.065,0.719
3.0,-9.166,-1.112,3.275,-0.764,-0.066,0.622
6.0,-9.166,-1.112,3.275,-0.692,-0.066,0.622
9.0,-9.166,-1.112,3.275,-0.692,-0.066,0.622
12.0,-9.166,-1.112,3.246,-0.692,-0.066,0.622
15.0,-9.511,-0.354,3.246,-0.716,-0.061,0.523
18.0,-9.511,-0.354,3.246,-0.716,-0.061,0.523
21.0,-9.511,-0.354,3.246,-0.716,-0.061,0.523
24.0,-9.73,0.321,3.205,-0.844,-0.085,0.424
27.0,-9.73,0.321,3.205,-0.844,-0.085,0.424
30.0,-9.73,0.321,3.205,-0.844,-0.085,0.424
33.0,-9.626,0.37,3.398,-1.049,-0.12,0.345
36.0,-9.626,0.37,3.398,-1.049,-0.12,0.345
40.0,-9.626,0.37,3.398,-1.049,-0.12,0.345
44.0,-9.307,-0.174,3.811,-1.222,-0.148,0.3
48.0,-9.307,-0.174,3.811,-1.222,-0.148,0.3
52.0,-9.307,-0.821,4.282,-1.222,-0.148,0.3
55.0,-8.975,-0.821,4.282,-1.279,-0.16,0.276
59.0,-8.975,-0.821,4.282,-1.279,-0.16,0.276
63.0,-8.685,-1.183,4.574,-1.228,-0.16,0.26
67.0,-8.685,-1.183,4.574,-1.228,-0.16,0.26
71.0,-8.685,-1.183,4.574,-1.228,-0.16,0.26
74.0,-8.422,-1.128,4.768,-1.137,-0.158,0.244
78.0,-8.422,-1.128,4.768,-1.137,-0.158,0.244
82.0,-8.247,-1.153,4.703,-1.063,-0.172,0.225
86.0,-8.247,-1.153,4.703,-1.063,-0.172,0.225
90.0,-8.247,-1.153,4.703,-1.063,-0.172,0.225
94.0,-7.954,-2.261,4.49,-0.953,-0.203,0.232
97.0,-7.954,-2.261,4.49,-0.953,-0.203,0.232
101.0,-8.444,-2.877,4.283,-0.953,-0.203,0.232
105.0,-8.444,-2.877,4.283,-0.632,-0.222,0.287
109.0,-8.444,-2.877,4.283,-0.632,-0.222,0.287
113.0,-8.557,-2.543,4.047,-0.287,-0.185,0.298
117.0,-8.557,-2.543,4.047,-0.287,-0.185,0.298
121.0,-8.036,-2.456,3.946,-0.287,-0.185,0.298
125.0,-8.036,-2.456,3.946,-0.032,-0.15,0.272
129.0,-8.036,-2.456,3.946,-0.032,-0.15,0.272
132.0,-7.544,-2.051,3.689,0.196,-0.129,0.228
136.0,-7.544,-2.051,3.689,0.196,-0.129,0.228
140.0,-7.544,-2.051,3.689,0.196,-0.129,0.228
144.0,-7.143,-1.382,3.418,0.349,-0.097,0.159
148.0,-7.143,-1.382,3.418,0.349,-0.097,0.159
152.0,-7.513,-0.855,3.403,0.402,-0.018,0.098
155.0,-7.513,-0.855,3.403,0.402,-0.018,0.098
159.0,-7.513,-0.855,3.403,0.402,-0.018,0.098
163.0,-7.911,-0.562,3.553,0.415,0.032,0.067
167.0,-7.911,-0.562,3.553,0.415,0.032,0.067
171.0,-8.002,-0.336,3.717,0.415,0.032,0.048
174.0,-8.002,-0.336,3.717,0.412,0.052,0.048
178.0,-8.002,-0.336,3.717,0.412,0.052,0.048
182.0,-8.134,-0.022,3.756,0.37,0.085,0.032
185.0,-8.134,-0.022,3.756,0.37,0.085,0.032
189.0,-8.134,-0.022,3.756,0.37,0.085,0.032
193.0,-8.423,0.303,3.813,0.265,0.09,0.022
