deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-9.233,-4.815,3.288,-0.697,0.157,-1.05
3.0,-9.233,-4.815,3.288,-0.697,0.157,-1.05
6.0,-9.233,-4.815,3.288,-0.697,0.157,-1.05
9.0,-9.656,-5.026,3.317,-0.617,0.205,-1.002
12.0,-9.656,-5.026,3.317,-0.617,0.205,-1.002
15.0,-9.656,-5.026,3.317,-0.617,0.205,-1.002
18.0,-9.575,-5.613,3.475,-0.545,0.245,-0.913
21.0,-9.575,-5.613,3.475,-0.545,0.245,-0.913
24.0,-9.575,-5.613,3.475,-0.545,0.245,-0.913
27.0,-9.575,-6.409,3.763,-0.545,0.245,-0.913
30.0,-9.053,-6.409,3.763,-0.429,0.268,-0.822
33.0,-9.053,-6.409,3.763,-0.429,0.268,-0.822
37.0,-8.899,-6.894,4.122,-0.429,0.268,-0.822
41.0,-8.899,-6.894,4.122,-0.237,0.256,-0.786
44.0,-8.899,-6.894,4.122,-0.237,0.256,-0.786
48.0,-8.741,-7.064,4.272,-0.01,0.217,-0.802
52.0,-8.741,-7.064,4.272,-0.01,0.217,-0.802
56.0,-8.741,-7.064,4.272,-0.01,0.217,-0.802
60.0,-8.491,-7.098,4.208,0.213,0.166,-0.824
63.0,-8.491,-7.098,4.208,0.213,0.166,-0.824
67.0,-8.321,-7.014,4.058,0.413,0.118,-0.831
71.0,-8.321,-7.014,4.058,0.413,0.118,-0.831
75.0,-8.321,-7.014,4.058,0.413,0.118,-0.831
78.0,-8.259,-6.849,3.856,0.578,0.084,-0.824
82.0,-8.259,-6.849,3.856,0.578,0.084,-0.824
86.0,-8.259,-6.849,3.686,0.578,0.084,-0.824
89.0,-8.252,-6.827,3.686,0.7,0.074,-0.779
93.0,-8.252,-6.827,3.686,0.7,0.074,-0.779
97.0,-8.294,-6.93,3.659,0.788,0.089,-0.684
101.0,-8.294,-6.93,3.659,0.788,0.089,-0.684
104.0,-8.294,-6.93,3.659,0.788,0.089,-0.684
108.0,-8.39,-6.926,3.67,0.836,0.101,-0.568
112.0,-8.39,-6.926,3.67,0.836,0.101,-0.568
116.0,-8.59,-6.888,3.646,0.836,0.101,-0.461
120.0,-8.59,-6.888,3.646,0.827,0.097,-0.461
124.0,-8.59,-6.888,3.646,0.827,0.097,-0.461
127.0,-8.616,-6.974,3.602,0.762,0.067,-0.381
131.0,-8.616,-6.974,3.602,0.762,0.067,-0.381
135.0,-8.616,-6.974,3.631,0.762,0.067,-0.381
139.0,-8.548,-7.152,3.631,0.673,0.018,-0.339
143.0,-8.548,-7.152,3.631,0.673,0.018,-0.339
147.0,-8.646,-7.446,3.552,0.613,-0.052,-0.343
150.0,-8.646,-7.446,3.552,0.613,-0.052,-0.343
154.0,-8.646,-7.446,3.552,0.613,-0.052,-0.343
158.0,-8.537,-7.467,3.416,0.625,-0.159,-0.384
162.0,-8.537,-7.467,3.416,0.625,-0.159,-0.384
166.0,-8.692,-7.245,3.115,0.655,-0.179,-0.433
170.0,-8.692,-7.245,3.115,0.655,-0.179,-0.433
174.0,-8.692,-7.245,3.115,0.655,-0.179,-0.433
178.0,-8.894,-6.919,2.836,0.685,-0.214,-0.478
182.0,-8.894,-6.919,2.836,0.685,-0.214,-0.478
186.0,-9.198,-6.473,2.583,0.681,-0.236,-0.506
189.0,-9.198,-6.473,2.583,0.681,-0.236,-0.506
193.0,-9.198,-6.473,2.583,0.681,-0.236,-0.506
197.0,-9.565,-6.264,2.549,0.628,-0.236,-0.509
201.0,-9.565,-6.264,2.549,0.628,-0.236,-0.509
205.0,-9.924,-6.44,2.853,0.569,-0.211,-0.471
209.0,-9.924,-6.44,2.853,0.569,-0.211,-0.471
213.0,-9.924,-6.44,2.853,0.569,-0.211,-0.471
217.0,-10.239,-6.644,3.217,0.552,-0.192,-0.412
221.0,-10.239,-6.644,3.217,0.552,-0.192,-0.412
225.0,-10.188,-6.806,3.486,0.584,-0.192,-0.366
229.0,-10.188,-6.806,3.486,0.584,-0.192,-0.366
233.0,-10.188,-6.806,3.486,0.584,-0.192,-0.366
237.0,-9.953,-6.829,3.745,0.65,-0.2,-0.337
241.0,-9.953,-6.829,3.745,0.65,-0.2,-0.337
245.0,-9.79,-6.625,3.913,0.733,-0.207,-0.322
248.0,-9.79,-6.625,3.913,0.733,-0.207,-0.322
252.0,-9.79,-6.625,3.913,0.733,-0.207,-0.322
256.0,-9.398,-6.389,4.026,0.801,-0.207,-0.308
260.0,-9.398,-6.389,4.026,0.801,-0.207,-0.308
264.0,-9.143,-6.489,4.16,0.801,-0.181,-0.27
268.0,-9.143,-6.489,4.16,0.877,-0.181,-0.27
