deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-7.47,-2.548,1.985,-1.151,-0.401,-0.18
3.0,-7.585,-2.719,1.985,-1.103,-0.428,-0.231
6.0,-7.585,-2.719,1.985,-1.103,-0.428,-0.231
9.0,-7.585,-2.719,1.985,-1.103,-0.428,-0.231
12.0,-7.641,-2.988,1.858,-1.007,-0.448,-0.267
15.0,-7.641,-2.988,1.858,-1.007,-0.448,-0.267
18.0,-7.641,-2.988,1.858,-1.007,-0.448,-0.267
21.0,-7.677,-3.057,1.817,-0.853,-0.45,-0.278
24.0,-7.677,-3.057,1.817,-0.853,-0.45,-0.278
27.0,-7.677,-3.057,1.817,-0.853,-0.45,-0.278
30.0,-7.659,-2.926,1.735,-0.853,-0.45,-0.273
34.0,-7.659,-2.926,1.735,-0.687,-0.443,-0.273
38.0,-7.659,-2.926,1.735,-0.687,-0.443,-0.273
42.0,-7.613,-2.799,1.694,-0.546,-0.425,-0.254
46.0,-7.613,-2.799,1.694,-0.546,-0.425,-0.254
50.0,-7.728,-2.578,1.606,-0.546,-0.425,-0.254
54.0,-7.728,-2.578,1.606,-0.434,-0.396,-0.224
58.0,-7.728,-2.578,1.606,-0.434,-0.396,-0.224
62.0,-7.978,-2.31,1.592,-0.359,-0.353,-0.184
65.0,-7.978,-2.31,1.592,-0.359,-0.353,-0.184
69.0,-7.978,-2.1,1.618,-0.359,-0.353,-0.184
73.0,-8.213,-2.1,1.618,-0.329,-0.318,-0.147
77.0,-8.213,-2.1,1.618,-0.329,-0.318,-0.147
81.0,-8.345,-1.96,1.688,-0.349,-0.292,-0.125
85.0,-8.345,-1.96,1.688,-0.349,-0.292,-0.125
89.0,-8.345,-1.96,1.775,-0.349,-0.292,-0.125
93.0,-8.356,-1.951,1.775,-0.408,-0.272,-0.124
97.0,-8.356,-1.951,1.775,-0.408,-0.272,-0.124
101.0,-8.343,-2.091,1.952,-0.471,-0.258,-0.137
105.0,-8.343,-2.091,1.952,-0.471,-0.258,-0.137
109.0,-8.343,-2.091,2.036,-0.471,-0.258,-0.137
113.0,-8.244,-2.139,2.036,-0.506,-0.254,-0.166
