deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-8.767,-6.666,9.117,-0.616,-1.458,0.61
3.0,-8.767,-6.666,9.117,-0.46,-1.384,0.704
6.0,-8.767,-6.666,9.117,-0.46,-1.384,0.704
9.0,-8.767,-6.666,9.117,-0.46,-1.384,0.704
12.0,-8.998,-7.09,8.57,-0.274,-1.279,0.856
15.0,-8.998,-7.09,8.57,-0.274,-1.279,0.856
18.0,-8.998,-7.09,8.57,-0.274,-1.279,0.856
21.0,-9.435,-7.46,8.141,-0.102,-1.166,0.997
24.0,-9.435,-7.46,8.141,-0.102,-1.166,0.997
27.0,-9.435,-7.46,8.141,-0.102,-1.166,0.997
30.0,-9.477,-7.56,7.774,-0.102,-1.166,1.096
33.0,-9.477,-7.56,7.774,0.007,-1.059,1.096
37.0,-9.477,-7.56,7.774,0.007,-1.059,1.096
41.0,-9.433,-7.585,7.223,0.038,-0.946,1.151
45.0,-9.433,-7.585,7.223,0.038,-0.946,1.151
48.0,-9.433,-7.585,7.223,0.038,-0.946,1.151
52.0,-9.51,-7.813,6.27,-0.002,-0.828,1.189
56.0,-9.51,-7.813,6.27,-0.002,-0.828,1.189
60.0,-9.468,-8.119,5.192,-0.002,-0.828,1.211
64.0,-9.468,-8.119,5.192,-0.076,-0.661,1.211
67.0,-9.468,-8.119,5.192,-0.076,-0.661,1.211
71.0,-9.166,-8.235,4.288,-0.15,-0.444,1.215
75.0,-9.166,-8.235,4.288,-0.15,-0.444,1.215
79.0,-9.166,-8.235,4.288,-0.15,-0.444,1.215
83.0,-9.126,-7.634,3.658,-0.24,-0.198,1.185
86.0,-9.126,-7.634,3.658,-0.24,-0.198,1.185
90.0,-9.431,-7.674,3.836,-0.385,0.047,1.088
94.0,-9.431,-7.674,3.836,-0.385,0.047,1.088
98.0,-9.431,-7.674,3.836,-0.385,0.047,1.088
101.0,-9.663,-7.158,4.127,-0.487,0.231,0.969
105.0,-9.663,-7.158,4.127,-0.487,0.231,0.969
109.0,-9.986,-6.307,3.727,-0.487,0.231,0.838
113.0,-9.986,-6.307,3.727,-0.592,0.282,0.838
117.0,-9.986,-6.307,3.727,-0.592,0.282,0.838
121.0,-10.536,-5.802,2.742,-0.767,0.292,0.769
124.0,-10.536,-5.802,2.742,-0.767,0.292,0.769
128.0,-10.536,-5.802,1.711,-0.767,0.292,0.769
132.0,-10.994,-5.583,1.711,-1.017,0.34,0.799
136.0,-10.994,-5.583,1.711,-1.017,0.34,0.799
140.0,-11.986,-5.238,1.311,-1.332,0.411,0.841
144.0,-11.986,-5.238,1.311,-1.332,0.411,0.841
148.0,-11.986,-5.238,1.311,-1.332,0.411,0.841
152.0,-12.33,-5.0,1.599,-1.734,0.492,0.883
156.0,-12.33,-5.0,1.599,-1.734,0.492,0.883
160.0,-12.313,-5.74,2.21,-2.124,0.578,0.984
164.0,-12.313,-5.74,2.21,-2.124,0.578,0.984
167.0,-12.313,-5.74,2.21,-2.124,0.578,0.984
171.0,-11.595,-6.937,2.703,-2.29,0.587,1.153
175.0,-11.595,-6.937,2.703,-2.29,0.587,1.153
179.0,-12.381,-8.002,2.469,-2.152,0.555,1.376
183.0,-12.381,-8.002,2.469,-2.152,0.555,1.376
187.0,-12.381,-8.002,2.469,-2.152,0.555,1.376
191.0,-11.365,-7.824,1.603,-1.736,0.319,1.549
195.0,-11.365,-7.824,1.603,-1.736,0.319,1.549
199.0,-10.065,-7.716,0.98,-1.265,0.173,1.642
203.0,-10.065,-7.716,0.98,-1.265,0.173,1.642
207.0,-10.065,-7.716,0.98,-1.265,0.173,1.642
210.0,-8.692,-7.597,0.351,-0.734,0.111,1.709
214.0,-8.692,-7.597,0.351,-0.734,0.111,1.709
218.0,-7.433,-7.251,-0.431,-0.177,0.109,1.785
222.0,-7.433,-7.251,-0.431,-0.177,0.109,1.785
226.0,-7.433,-7.251,-0.431,-0.177,0.109,1.785
230.0,-6.156,-6.706,-1.553,0.342,0.167,1.879
234.0,-6.156,-6.706,-1.553,0.342,0.167,1.879
237.0,-4.719,-6.058,-2.757,0.342,0.167,1.971
241.0,-4.719,-6.058,-2.757,0.742,0.28,1.971
245.0,-4.719,-6.058,-2.757,0.742,0.28,1.971
249.0,-3.125,-5.627,-3.421,0.962,0.446,2.057
253.0,-3.125,-5.627,-3.421,0.962,0.446,2.057
257.0,-3.125,-5.627,-3.123,0.962,0.446,2.057
260.0,-1.28,-5.451,-3.123,1.058,0.65,2.127
