deltaTime,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,-7.971,-3.234,3.433,0.521,-0.543,0.348
3.0,-7.971,-3.234,3.433,0.521,-0.543,0.348
6.0,-7.971,-3.234,3.433,0.521,-0.543,0.348
9.0,-8.538,-2.628,2.841,0.187,-0.545,0.283
12.0,-8.538,-2.628,2.841,0.187,-0.545,0.283
15.0,-8.538,-2.628,2.841,0.187,-0.545,0.283
18.0,-8.538,-2.632,2.469,0.187,-0.545,0.283
21.0,-9.138,-2.632,2.469,-0.251,-0.472,0.298
24.0,-9.138,-2.632,2.469,-0.251,-0.472,0.298
27.0,-9.138,-2.632,2.469,-0.251,-0.472,0.298
30.0,-9.313,-2.972,2.561,-0.681,-0.379,0.36
33.0,-9.313,-2.972,2.561,-0.681,-0.379,0.36
37.0,-9.313,-2.972,2.561,-0.681,-0.379,0.36
40.0,-9.058,-3.186,2.864,-1.063,-0.274,0.422
44.0,-9.058,-3.186,2.864,-1.063,-0.274,0.422
48.0,-8.897,-3.685,3.179,-1.063,-0.274,0.422
52.0,-8.897,-3.685,3.179,-1.418,-0.171,0.443
56.0,-8.897,-3.685,3.179,-1.418,-0.171,0.443
60.0,-8.562,-4.211,3.599,-1.689,-0.101,0.406
63.0,-8.562,-4.211,3.599,-1.689,-0.101,0.406
67.0,-8.562,-4.211,3.599,-1.689,-0.101,0.406
71.0,-8.042,-4.642,4.005,-1.83,-0.054,0.333
75.0,-8.042,-4.642,4.005,-1.83,-0.054,0.333
79.0,-7.645,-5.265,4.338,-1.809,-0.014,0.272
82.0,-7.645,-5.265,4.338,-1.809,-0.014,0.272
86.0,-7.645,-5.265,4.338,-1.809,-0.014,0.272
90.0,-7.443,-5.745,4.571,-1.595,0.028,0.256
94.0,-7.443,-5.745,4.571,-1.595,0.028,0.256
98.0,-7.301,-5.9,4.665,-1.595,0.028,0.275
101.0,-7.301,-5.9,4.665,-1.24,0.07,0.275
105.0,-7.301,-5.9,4.665,-1.24,0.07,0.275
109.0,-7.2,-5.6,4.519,-0.843,0.104,0.295
113.0,-7.2,-5.6,4.519,-0.843,0.104,0.295
117.0,-7.2,-5.6,4.519,-0.843,0.104,0.295
120.0,-7.108,-4.855,4.148,-0.511,0.132,0.288
124.0,-7.108,-4.855,4.148,-0.511,0.132,0.288
